task,split,hf_subset,GritLM/GritLM-7B(13f00a0e36500c80ce12870ea513846a066004af),intfloat/multilingual-e5-base(d13f1b27baf31030b7fd040960d60d909913633f),intfloat/multilingual-e5-large(4dc6d853a804b9c8886ede6dda8a073b7dc08a81),intfloat/multilingual-e5-large-instruct(baa7be480a7de1539afce709c8f13f833a510e0a),intfloat/multilingual-e5-small(e4ce9877abf3edfe10b0d82785e83bdcb973e22e),sentence-transformers/LaBSE(e34fab64a3011d2176c99545a93d5cbddc9a91b7),sentence-transformers/all-MiniLM-L12-v2(no_revision_available),sentence-transformers/all-MiniLM-L6-v2(8b3219a92973c328a8e22fadcfa821b5dc75636a),sentence-transformers/all-mpnet-base-v2(84f2bcc00d77236f9e89c8a360a00fb1139bf47d),sentence-transformers/all-mpnet-base-v2(no_revision_available),sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2(bf3bf13ab40c3157080a7ab344c831b9ad18b5eb),sentence-transformers/paraphrase-multilingual-mpnet-base-v2(79f2382ceacceacdf38563d7c5d16b9ff8d725d6)
OpusparcusPC,test.full,fr,93.4,92.1,93.7,94.7,91.8,94.0,87.3,,,86.6,92.0,93.5
OpusparcusPC,test.full,ru,88.6,86.8,89.6,91.2,84.8,87.3,79.2,,,79.9,88.3,90.5
OpusparcusPC,test.full,sv,94.0,93.1,95.0,95.8,91.1,93.7,84.9,,,81.8,94.0,95.2
OpusparcusPC,validation.full,de,97.3,95.9,97.3,97.9,94.7,97.1,90.0,,,88.5,96.2,97.2
OpusparcusPC,validation.full,en,98.6,98.4,98.7,99.0,98.1,98.2,97.3,,,97.6,98.2,98.7
OpusparcusPC,validation.full,fi,90.4,88.8,93.7,94.0,88.2,92.7,87.6,,,87.2,91.5,93.3
OpusparcusPC,validation.full,fr,94.6,93.7,94.9,95.6,93.1,94.4,87.8,,,87.8,94.1,95.3
OpusparcusPC,validation.full,ru,90.0,87.9,90.3,91.8,86.5,88.6,81.1,,,80.5,89.3,90.0
OpusparcusPC,validation.full,sv,93.4,91.4,94.2,95.1,89.2,92.7,82.9,,,80.3,94.2,95.5
PSC,test,default,99.4,99.1,99.4,99.3,99.2,97.4,87.9,81.9,83.3,,97.1,98.3
PawsX,test,de,58.9,54.3,57.1,56.7,52.5,51.3,51.1,,52.3,,53.3,55.7
PawsX,test,en,64.0,55.8,63.0,64.5,54.0,54.1,58.7,,62.0,,55.9,60.1
PawsX,test,es,59.3,54.1,56.9,57.5,51.5,52.2,52.1,,55.1,,54.6,56.9
PawsX,test,fr,62.0,56.1,58.7,59.9,52.8,54.7,55.6,,56.4,,57.1,58.3
PawsX,test,ja,51.6,49.1,50.9,50.9,48.3,47.8,47.9,,47.6,,48.8,49.4
PawsX,test,ko,52.2,51.0,52.2,51.8,50.0,49.5,49.6,,49.8,,49.9,50.7
PawsX,test,zh,57.9,55.1,56.9,57.4,54.1,54.6,53.0,,52.5,,54.3,55.5
PawsX,validation,de,53.5,49.8,51.7,51.4,47.5,49.0,46.9,,48.8,,49.0,50.8
PawsX,validation,en,62.8,53.0,59.6,60.8,51.5,51.9,57.5,,59.0,,52.5,55.8
PawsX,validation,es,58.8,52.3,54.1,55.2,49.4,50.6,49.8,,52.4,,52.6,54.3
PawsX,validation,fr,62.5,54.6,57.2,59.2,53.2,55.0,54.8,,55.9,,56.2,57.7
PawsX,validation,ja,56.0,51.5,53.1,53.5,50.3,52.3,50.3,,50.7,,51.6,52.3
PawsX,validation,ko,49.3,46.7,47.9,47.9,45.5,46.2,44.9,,45.4,,45.2,46.0
PawsX,validation,zh,54.2,51.6,53.1,53.0,50.3,49.9,49.3,,50.0,,50.9,51.2
PpcPC,test,default,90.6,88.0,92.2,93.7,86.8,87.0,71.9,69.9,66.9,,92.4,93.7
RTE3,test,de,88.1,87.3,87.2,87.9,86.5,86.9,85.0,,84.1,,88.7,89.5
RTE3,test,en,90.2,87.6,88.4,89.8,87.3,86.7,88.7,,88.7,,88.5,90.2
RTE3,test,fr,88.6,86.9,87.2,88.1,86.0,87.4,85.6,,84.7,,88.0,89.2
RTE3,test,it,88.4,87.2,86.8,88.2,86.1,87.0,85.1,,84.4,,88.6,89.1
SICK-BR-PC,test,default,25.9,27.5,21.7,37.8,30.2,35.4,58.3,54.5,,64.2,24.4,19.7
SICK-E-PL,test,default,76.0,68.8,76.0,80.5,66.3,63.8,49.6,47.4,46.5,,71.9,77.2
SprintDuplicateQuestions,test,default,93.5,93.0,93.1,90.6,92.4,89.3,92.6,94.6,90.1,,91.1,91.1
SprintDuplicateQuestions,validation,default,94.7,93.8,93.2,90.5,92.7,88.7,93.5,95.1,91.8,,90.9,91.5
TERRa,dev,default,59.4,55.0,58.4,62.3,55.1,55.7,46.4,45.0,,44.5,58.6,64.6
TwitterSemEval2015,test,default,71.3,72.2,75.3,80.5,70.8,62.8,70.0,67.9,73.9,,65.1,68.8
TwitterURLCorpus,test,default,84.6,85.5,85.8,87.1,85.0,84.6,84.8,84.7,85.1,,83.8,85.3
XNLI,test,ar,68.4,,71.4,,67.6,65.5,53.8,,54.2,,78.6,83.1
XNLI,test,bg,75.6,,74.5,,69.5,66.6,56.6,,56.6,,81.6,85.6
XNLI,test,de,75.5,,73.9,,68.1,64.2,56.8,,57.2,,80.1,85.0
XNLI,test,el,69.3,,75.8,,68.6,65.6,54.4,,54.2,,80.8,85.2
XNLI,test,en,82.8,,75.5,,70.1,65.9,72.7,,78.9,,83.5,88.3
XNLI,test,es,78.3,,74.1,,69.5,65.6,60.1,,60.4,,81.8,86.3
XNLI,test,fr,77.5,,76.1,,68.8,66.5,62.3,,63.4,,82.2,85.7
XNLI,test,hi,64.4,,74.1,,73.1,63.0,55.6,,53.0,,77.4,81.5
XNLI,test,ru,76.1,,76.8,,72.4,67.0,59.7,,60.1,,82.5,85.2
XNLI,test,sw,59.9,,69.0,,67.1,62.7,57.7,,56.8,,55.3,54.9
XNLI,test,th,69.0,,71.0,,68.1,63.8,51.7,,51.8,,80.4,83.5
XNLI,test,tr,70.2,,74.6,,69.0,64.1,59.0,,56.2,,78.7,82.8
XNLI,test,vi,73.0,,74.8,,67.8,64.8,58.8,,57.2,,81.1,85.5
XNLI,test,zh,73.9,,73.0,,67.1,67.4,57.5,,57.4,,81.3,84.8
XNLI,validation,ar,73.0,,75.1,,69.4,69.2,56.3,,56.0,,81.4,85.6
XNLI,validation,bg,77.6,,77.3,,71.9,70.3,59.1,,58.9,,83.2,86.8
XNLI,validation,de,78.0,,76.0,,70.8,67.9,60.6,,59.1,,81.8,86.6
XNLI,validation,el,71.1,,76.8,,70.8,67.9,55.8,,55.7,,83.0,86.1
XNLI,validation,en,84.2,,77.8,,73.0,69.5,77.0,,81.4,,85.8,89.5
XNLI,validation,es,78.6,,75.7,,72.1,68.8,63.5,,63.6,,83.2,86.6
XNLI,validation,fr,79.1,,76.6,,71.3,69.7,63.8,,65.3,,82.9,86.1
XNLI,validation,hi,66.8,,76.1,,74.5,66.2,54.5,,52.3,,78.3,82.6
XNLI,validation,ru,76.8,,78.0,,73.2,69.2,58.4,,58.7,,83.0,86.2
XNLI,validation,sw,62.4,,69.9,,67.4,65.3,58.8,,60.0,,54.5,55.3
XNLI,validation,th,70.2,,71.1,,68.4,62.3,50.3,,50.0,,80.5,84.0
XNLI,validation,tr,72.4,,77.1,,72.7,67.2,58.0,,55.9,,81.0,85.7
XNLI,validation,vi,73.5,,75.9,,69.5,66.8,60.5,,56.9,,82.7,85.5
XNLI,validation,zh,73.7,,75.5,,68.8,70.0,57.7,,58.1,,82.2,85.8
XNLIV2,test,assamese,62.4,66.2,68.3,68.3,67.5,64.2,53.5,55.3,52.4,,55.1,67.9
XNLIV2,test,bengali,62.9,69.3,71.9,73.6,70.0,64.3,52.5,52.6,51.5,,56.4,77.8
XNLIV2,test,bhojpuri,64.2,67.9,70.2,71.7,69.9,63.1,57.6,55.6,55.3,,66.9,71.8
XNLIV2,test,greek,67.9,71.6,73.9,79.3,67.2,65.3,54.1,53.4,54.7,,81.0,85.0
XNLIV2,test,gujrati,64.8,70.3,71.7,72.4,69.6,63.2,50.2,49.6,50.4,,71.6,82.9
XNLIV2,test,kannada,63.9,68.9,70.9,72.1,70.5,64.2,51.3,50.1,51.2,,51.3,76.9
XNLIV2,test,marathi,63.8,69.4,72.0,73.9,71.7,65.3,56.1,55.0,53.5,,76.9,81.5
XNLIV2,test,odiya,64.2,67.4,70.6,72.6,68.5,64.2,52.4,53.1,53.4,,61.9,78.7
XNLIV2,test,punjabi,65.6,70.8,72.6,73.5,71.2,64.4,50.9,50.2,50.6,,53.3,80.3
XNLIV2,test,russian,76.3,73.1,76.9,81.6,73.1,65.9,60.1,57.6,58.7,,83.1,86.3
XNLIV2,test,sanskrit,64.5,65.8,67.3,68.3,66.6,60.6,55.0,56.6,53.5,,58.8,69.9
XNLIV2,test,tamil,64.7,70.1,72.8,74.6,70.6,64.5,53.2,52.7,51.9,,53.2,80.0
XNLIV2,test,turkish,70.5,72.1,74.9,78.6,69.3,64.0,57.4,56.4,55.8,,79.9,84.4
indonli,test_expert,default,54.2,51.0,51.7,56.4,50.9,49.9,48.4,,48.5,,55.8,58.0
