task,split,hf_subset,GritLM/GritLM-7B(13f00a0e36500c80ce12870ea513846a066004af),intfloat/multilingual-e5-base(d13f1b27baf31030b7fd040960d60d909913633f),intfloat/multilingual-e5-large(4dc6d853a804b9c8886ede6dda8a073b7dc08a81),intfloat/multilingual-e5-large-instruct(baa7be480a7de1539afce709c8f13f833a510e0a),intfloat/multilingual-e5-small(e4ce9877abf3edfe10b0d82785e83bdcb973e22e),sentence-transformers/LaBSE(e34fab64a3011d2176c99545a93d5cbddc9a91b7),sentence-transformers/all-MiniLM-L12-v2(a05860a77cef7b37e0048a7864658139bc18a854),sentence-transformers/all-MiniLM-L12-v2(no_revision_available),sentence-transformers/all-MiniLM-L6-v2(8b3219a92973c328a8e22fadcfa821b5dc75636a),sentence-transformers/all-mpnet-base-v2(84f2bcc00d77236f9e89c8a360a00fb1139bf47d),sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2(bf3bf13ab40c3157080a7ab344c831b9ad18b5eb),sentence-transformers/paraphrase-multilingual-mpnet-base-v2(79f2382ceacceacdf38563d7c5d16b9ff8d725d6)
BibleNLPBitextMining,train,amn_Latn-eng_Latn,,,,,,,2.1,,0.9,1.6,0.7,1.0
BibleNLPBitextMining,train,amo_Latn-eng_Latn,,,,,,,1.1,,0.7,0.1,0.5,1.2
BibleNLPBitextMining,train,amp_Latn-eng_Latn,,,,,,,1.3,,0.0,1.8,1.0,1.4
BibleNLPBitextMining,train,amr_Latn-eng_Latn,,,,,,,0.8,,1.1,0.4,0.9,2.7
BibleNLPBitextMining,train,amu_Latn-eng_Latn,,,,,,,0.6,,0.6,0.0,1.7,1.9
BibleNLPBitextMining,train,amx_Latn-eng_Latn,,,,,,,7.9,,7.6,7.7,5.1,7.2
BibleNLPBitextMining,train,anh_Latn-eng_Latn,,,,,,,2.3,,0.6,1.0,0.1,2.0
BibleNLPBitextMining,train,anv_Latn-eng_Latn,,,,,,,0.8,,1.0,0.5,0.4,1.9
BibleNLPBitextMining,train,aoi_Latn-eng_Latn,,,,,,,0.0,,0.0,0.6,0.1,0.1
BibleNLPBitextMining,train,aoj_Latn-eng_Latn,,,,,,,2.1,,0.5,1.1,0.7,0.8
BibleNLPBitextMining,train,aom_Latn-eng_Latn,,,,,,,3.5,,4.1,2.3,2.9,4.8
BibleNLPBitextMining,train,aon_Latn-eng_Latn,,,,,,,0.5,,0.4,0.9,1.0,1.1
BibleNLPBitextMining,train,apb_Latn-eng_Latn,,,,,,,0.0,,0.0,0.4,0.0,0.7
BibleNLPBitextMining,train,ape_Latn-eng_Latn,,,,,,,2.1,,0.8,1.5,0.0,0.3
BibleNLPBitextMining,train,apn_Latn-eng_Latn,,,,,,,0.4,,0.4,0.0,0.4,0.4
BibleNLPBitextMining,train,apr_Latn-eng_Latn,,,,,,,0.9,,0.6,0.3,0.7,0.8
BibleNLPBitextMining,train,apu_Latn-eng_Latn,,,,,,,0.0,,0.4,0.0,0.3,0.0
BibleNLPBitextMining,train,apw_Latn-eng_Latn,,,,,,,4.4,,3.9,2.5,1.8,2.0
BibleNLPBitextMining,train,apz_Latn-eng_Latn,,,,,,,0.0,,0.1,0.0,0.5,1.0
BibleNLPBitextMining,train,arb_Arab-eng_Latn,,,,,,,0.0,,0.0,0.2,0.8,7.2
BibleNLPBitextMining,train,are_Latn-eng_Latn,,,,,,,6.5,,7.6,5.9,4.7,2.9
BibleNLPBitextMining,train,arl_Latn-eng_Latn,,,,,,,0.2,,1.0,0.4,0.4,0.0
BibleNLPBitextMining,train,arn_Latn-eng_Latn,,,,,,,1.6,,0.2,0.2,1.2,2.3
BibleNLPBitextMining,train,arp_Latn-eng_Latn,,,,,,,11.8,,12.1,12.2,10.3,11.2
BibleNLPBitextMining,train,asm_Beng-eng_Latn,,,,,,,0.0,,0.0,0.0,3.0,38.5
BibleNLPBitextMining,train,aso_Latn-eng_Latn,,,,,,,0.0,,0.0,0.0,0.8,0.4
BibleNLPBitextMining,train,ata_Latn-eng_Latn,,,,,,,0.5,,0.8,0.4,1.9,1.3
BibleNLPBitextMining,train,atb_Latn-eng_Latn,,,,,,,0.1,,0.4,0.0,0.6,0.4
BibleNLPBitextMining,train,atd_Latn-eng_Latn,,,,,,,0.8,,0.5,0.1,1.3,0.5
BibleNLPBitextMining,train,atg_Latn-eng_Latn,,,,,,,0.6,,0.5,0.1,0.7,0.5
BibleNLPBitextMining,train,att_Latn-eng_Latn,,,,,,,0.3,,0.6,1.1,0.5,0.6
BibleNLPBitextMining,train,auc_Latn-eng_Latn,,,,,,,0.4,,0.2,0.1,0.4,0.4
BibleNLPBitextMining,train,aui_Latn-eng_Latn,,,,,,,2.6,,0.9,1.5,1.4,1.0
BibleNLPBitextMining,train,auy_Latn-eng_Latn,,,,,,,0.6,,0.1,0.0,0.0,0.0
BibleNLPBitextMining,train,avt_Latn-eng_Latn,,,,,,,1.0,,0.8,0.0,1.1,1.9
BibleNLPBitextMining,train,awb_Latn-eng_Latn,,,,,,,0.6,,0.1,0.0,0.1,0.1
BibleNLPBitextMining,train,awk_Latn-eng_Latn,,,,,,,0.5,,0.0,0.5,0.1,1.3
BibleNLPBitextMining,train,awx_Latn-eng_Latn,,,,,,,10.0,,5.4,6.9,8.5,8.0
BibleNLPBitextMining,train,azb_Arab-eng_Latn,,,,,,,0.4,,0.5,0.5,35.1,84.6
BibleNLPBitextMining,train,azg_Latn-eng_Latn,,,,,,,1.4,,0.5,0.0,0.2,2.0
BibleNLPBitextMining,train,azz_Latn-eng_Latn,,,,,,,0.7,,0.0,0.7,1.8,0.9
BibleNLPBitextMining,train,bao_Latn-eng_Latn,,,,,,,1.2,,0.4,1.0,2.2,3.1
BibleNLPBitextMining,train,bba_Latn-eng_Latn,,,,,,,0.0,,0.0,0.0,0.4,1.5
BibleNLPBitextMining,train,bbb_Latn-eng_Latn,,,,,,,0.3,,0.4,0.0,0.8,0.7
BibleNLPBitextMining,train,bbr_Latn-eng_Latn,,,,,,,1.2,,0.9,1.1,1.9,1.8
BibleNLPBitextMining,train,bch_Latn-eng_Latn,,,,,,,1.2,,0.3,1.5,2.3,2.1
BibleNLPBitextMining,train,bco_Latn-eng_Latn,,,,,,,1.1,,0.5,0.7,0.0,0.0
BibleNLPBitextMining,train,bdd_Latn-eng_Latn,,,,,,,0.7,,0.4,0.9,0.7,1.1
BibleNLPBitextMining,train,bea_Latn-eng_Latn,,,,,,,6.1,,4.3,5.1,5.2,5.2
BibleNLPBitextMining,train,bef_Latn-eng_Latn,,,,,,,0.0,,0.0,0.4,0.0,0.3
BibleNLPBitextMining,train,bel_Cyrl-eng_Latn,,,,,,,0.3,,0.2,0.3,57.6,83.6
BibleNLPBitextMining,train,ben_Beng-eng_Latn,,,,,,,0.0,,0.0,0.3,5.3,72.1
BibleNLPBitextMining,train,beo_Latn-eng_Latn,,,,,,,0.4,,0.1,0.0,0.0,0.8
BibleNLPBitextMining,train,beu_Latn-eng_Latn,,,,,,,1.4,,1.8,1.2,1.3,1.6
BibleNLPBitextMining,train,bgs_Latn-eng_Latn,,,,,,,0.1,,0.1,0.5,2.1,1.2
BibleNLPBitextMining,train,bgt_Latn-eng_Latn,,,,,,,0.9,,0.9,0.0,1.8,1.5
BibleNLPBitextMining,train,bhg_Latn-eng_Latn,,,,,,,5.1,,3.2,4.1,3.5,3.2
BibleNLPBitextMining,train,bhl_Latn-eng_Latn,,,,,,,0.7,,0.0,0.3,1.1,0.7
BibleNLPBitextMining,train,big_Latn-eng_Latn,,,,,,,0.0,,0.0,0.0,0.3,0.4
BibleNLPBitextMining,train,bjk_Latn-eng_Latn,,,,,,,2.0,,1.5,1.3,2.0,1.7
BibleNLPBitextMining,train,bjp_Latn-eng_Latn,,,,,,,0.5,,0.6,0.2,2.0,2.9
BibleNLPBitextMining,train,bjr_Latn-eng_Latn,,,,,,,0.0,,0.0,0.0,0.4,0.0
BibleNLPBitextMining,train,bjv_Latn-eng_Latn,,,,,,,0.4,,0.4,0.0,0.4,0.7
BibleNLPBitextMining,train,bjz_Latn-eng_Latn,,,,,,,1.0,,0.9,0.4,1.4,0.9
BibleNLPBitextMining,train,bkd_Latn-eng_Latn,,,,,,,0.9,,0.8,0.7,2.9,2.5
BibleNLPBitextMining,train,bki_Latn-eng_Latn,,,,,,,0.1,,0.1,0.0,1.1,0.4
BibleNLPBitextMining,train,bkq_Latn-eng_Latn,,,,,,,0.9,,0.4,0.0,0.8,2.2
BibleNLPBitextMining,train,bkx_Latn-eng_Latn,,,,,,,0.7,,1.1,1.2,1.2,1.7
BibleNLPBitextMining,train,blw_Latn-eng_Latn,,,,,,,0.0,,0.0,0.0,0.3,0.8
BibleNLPBitextMining,train,blz_Latn-eng_Latn,,,,,,,1.7,,0.3,1.2,3.3,4.2
BibleNLPBitextMining,train,bmh_Latn-eng_Latn,,,,,,,0.9,,0.2,0.4,3.1,1.6
BibleNLPBitextMining,train,bmk_Latn-eng_Latn,,,,,,,2.3,,2.4,1.7,3.7,5.8
BibleNLPBitextMining,train,bmr_Latn-eng_Latn,,,,,,,0.6,,0.0,0.0,1.9,1.7
BibleNLPBitextMining,train,bmu_Latn-eng_Latn,,,,,,,0.8,,0.5,0.4,0.6,0.5
BibleNLPBitextMining,train,bnp_Latn-eng_Latn,,,,,,,1.7,,0.5,0.1,2.7,2.3
BibleNLPBitextMining,train,boa_Latn-eng_Latn,,,,,,,0.7,,0.4,0.4,0.1,0.2
BibleNLPBitextMining,train,boj_Latn-eng_Latn,,,,,,,1.2,,0.7,1.0,0.7,0.7
BibleNLPBitextMining,train,bon_Latn-eng_Latn,,,,,,,0.4,,0.1,0.5,0.8,1.3
BibleNLPBitextMining,train,box_Latn-eng_Latn,,,,,,,0.3,,0.0,0.0,0.4,0.5
BibleNLPBitextMining,train,bpr_Latn-eng_Latn,,,,,,,0.5,,0.4,0.1,1.1,0.6
BibleNLPBitextMining,train,bps_Latn-eng_Latn,,,,,,,0.9,,1.2,0.1,1.5,1.2
BibleNLPBitextMining,train,bqc_Latn-eng_Latn,,,,,,,0.3,,0.0,0.0,0.4,0.4
BibleNLPBitextMining,train,bqp_Latn-eng_Latn,,,,,,,0.0,,0.0,0.0,0.4,0.4
BibleNLPBitextMining,train,bre_Latn-eng_Latn,,,,,,,3.0,,3.4,3.1,6.4,8.5
BibleNLPBitextMining,train,bsj_Latn-eng_Latn,,,,,,,1.7,,1.2,1.2,1.3,2.5
BibleNLPBitextMining,train,bsn_Latn-eng_Latn,,,,,,,1.2,,1.5,0.1,0.4,1.1
BibleNLPBitextMining,train,bsp_Latn-eng_Latn,,,,,,,2.2,,0.9,1.8,1.6,3.2
BibleNLPBitextMining,train,bss_Latn-eng_Latn,,,,,,,0.1,,0.3,0.2,0.7,1.2
BibleNLPBitextMining,train,buk_Latn-eng_Latn,,,,,,,0.4,,0.0,0.0,0.1,0.4
BibleNLPBitextMining,train,bus_Latn-eng_Latn,,,,,,,0.0,,0.0,0.0,0.4,0.4
BibleNLPBitextMining,train,bvd_Latn-eng_Latn,,,,,,,0.5,,0.0,0.0,0.5,1.2
BibleNLPBitextMining,train,bvr_Latn-eng_Latn,,,,,,,1.3,,1.9,3.1,0.8,1.5
BibleNLPBitextMining,train,bxh_Latn-eng_Latn,,,,,,,1.1,,0.3,0.2,0.1,0.2
BibleNLPBitextMining,train,byr_Latn-eng_Latn,,,,,,,0.4,,0.0,0.5,0.3,0.4
BibleNLPBitextMining,train,byx_Latn-eng_Latn,,,,,,,0.7,,0.8,1.1,1.3,2.1
BibleNLPBitextMining,train,bzd_Latn-eng_Latn,,,,,,,1.2,,0.4,0.4,1.1,1.2
BibleNLPBitextMining,train,bzh_Latn-eng_Latn,,,,,,,0.4,,0.4,1.3,1.2,3.2
BibleNLPBitextMining,train,bzj_Latn-eng_Latn,,,,,,,4.6,,4.9,2.3,1.9,3.5
BibleNLPBitextMining,train,caa_Latn-eng_Latn,,,,,,,0.3,,0.8,0.1,3.3,3.7
BibleNLPBitextMining,train,cab_Latn-eng_Latn,,,,,,,1.4,,0.8,0.8,1.6,1.2
BibleNLPBitextMining,train,cac_Latn-eng_Latn,,,,,,,0.8,,0.7,0.6,0.7,3.1
BibleNLPBitextMining,train,caf_Latn-eng_Latn,,,,,,,2.9,,3.1,3.3,2.0,3.0
BibleNLPBitextMining,train,cak_Latn-eng_Latn,,,,,,,0.7,,1.0,1.3,3.0,2.4
BibleNLPBitextMining,train,cao_Latn-eng_Latn,,,,,,,0.1,,0.4,0.0,1.7,2.3
BibleNLPBitextMining,train,cap_Latn-eng_Latn,,,,,,,1.0,,0.6,0.6,0.6,1.8
BibleNLPBitextMining,train,car_Latn-eng_Latn,,,,,,,2.0,,1.2,0.7,2.3,1.1
BibleNLPBitextMining,train,cav_Latn-eng_Latn,,,,,,,0.4,,0.0,0.5,0.6,0.1
BibleNLPBitextMining,train,cax_Latn-eng_Latn,,,,,,,0.4,,1.5,0.5,2.0,2.2
BibleNLPBitextMining,train,cbc_Latn-eng_Latn,,,,,,,0.9,,0.1,0.0,1.3,1.2
BibleNLPBitextMining,train,cbi_Latn-eng_Latn,,,,,,,0.9,,0.0,0.1,1.1,0.8
BibleNLPBitextMining,train,cbk_Latn-eng_Latn,,,,,,,4.1,,4.3,5.6,47.0,58.0
BibleNLPBitextMining,train,cbr_Latn-eng_Latn,,,,,,,0.7,,0.3,0.0,1.3,2.5
BibleNLPBitextMining,train,cbs_Latn-eng_Latn,,,,,,,0.5,,0.9,0.4,2.8,2.1
BibleNLPBitextMining,train,cbt_Latn-eng_Latn,,,,,,,0.2,,0.1,0.0,0.4,0.0
BibleNLPBitextMining,train,cbu_Latn-eng_Latn,,,,,,,0.0,,0.4,0.1,0.8,0.0
BibleNLPBitextMining,train,cbv_Latn-eng_Latn,,,,,,,1.2,,1.5,0.2,1.2,2.0
BibleNLPBitextMining,train,cco_Latn-eng_Latn,,,,,,,1.7,,0.8,0.0,0.1,0.9
BibleNLPBitextMining,train,ceb_Latn-eng_Latn,,,,,,,1.2,,0.7,0.8,4.1,4.7
BibleNLPBitextMining,train,cek_Latn-eng_Latn,,,,,,,1.7,,1.3,0.8,0.9,1.7
BibleNLPBitextMining,train,ces_Latn-eng_Latn,,,,,,,2.8,,0.5,2.9,93.8,95.8
BibleNLPBitextMining,train,cgc_Latn-eng_Latn,,,,,,,0.5,,0.0,1.0,1.8,1.5
BibleNLPBitextMining,train,cha_Latn-eng_Latn,,,,,,,3.4,,3.4,6.0,7.2,7.6
BibleNLPBitextMining,train,chd_Latn-eng_Latn,,,,,,,1.2,,0.4,0.4,0.9,0.9
BibleNLPBitextMining,train,chf_Latn-eng_Latn,,,,,,,0.9,,0.9,0.5,2.2,2.8
BibleNLPBitextMining,train,chk_Latn-eng_Latn,,,,,,,1.9,,0.4,0.8,2.6,2.0
BibleNLPBitextMining,train,chq_Latn-eng_Latn,,,,,,,0.8,,1.2,0.2,1.3,1.7
BibleNLPBitextMining,train,chz_Latn-eng_Latn,,,,,,,2.9,,2.4,2.7,0.5,2.4
BibleNLPBitextMining,train,cjo_Latn-eng_Latn,,,,,,,0.0,,0.0,0.0,0.2,0.0
BibleNLPBitextMining,train,cjv_Latn-eng_Latn,,,,,,,0.5,,0.0,1.0,0.8,1.2
BibleNLPBitextMining,train,ckb_Arab-eng_Latn,,,,,,,0.7,,0.0,0.1,70.9,62.3
BibleNLPBitextMining,train,cle_Latn-eng_Latn,,,,,,,1.0,,0.5,0.3,0.7,0.3
BibleNLPBitextMining,train,clu_Latn-eng_Latn,,,,,,,1.6,,1.0,1.1,2.3,2.5
BibleNLPBitextMining,train,cme_Latn-eng_Latn,,,,,,,0.4,,0.0,0.0,0.4,1.2
BibleNLPBitextMining,train,cmn_Hans-eng_Latn,,,,,,,7.0,,5.4,6.6,95.8,95.8
BibleNLPBitextMining,train,cni_Latn-eng_Latn,,,,,,,0.0,,0.0,0.0,0.1,0.1
BibleNLPBitextMining,train,cnl_Latn-eng_Latn,,,,,,,1.2,,0.3,1.3,1.2,2.7
BibleNLPBitextMining,train,cnt_Latn-eng_Latn,,,,,,,0.3,,0.4,0.4,0.8,2.1
BibleNLPBitextMining,train,cof_Latn-eng_Latn,,,,,,,0.4,,0.0,0.0,1.3,1.0
BibleNLPBitextMining,train,con_Latn-eng_Latn,,,,,,,1.6,,0.0,0.0,2.0,1.3
BibleNLPBitextMining,train,cop_Copt-eng_Latn,,,,,,,0.0,,0.0,0.0,0.0,0.0
BibleNLPBitextMining,train,cot_Latn-eng_Latn,,,,,,,0.4,,0.2,0.0,0.4,0.4
BibleNLPBitextMining,train,cpa_Latn-eng_Latn,,,,,,,1.4,,1.4,0.7,0.2,1.7
BibleNLPBitextMining,train,cpb_Latn-eng_Latn,,,,,,,0.0,,0.0,0.8,2.9,2.8
BibleNLPBitextMining,train,cpc_Latn-eng_Latn,,,,,,,0.3,,0.4,0.0,2.5,2.1
BibleNLPBitextMining,train,cpu_Latn-eng_Latn,,,,,,,0.0,,0.0,0.5,2.2,2.8
BibleNLPBitextMining,train,cpy_Latn-eng_Latn,,,,,,,0.3,,0.6,0.0,1.3,1.5
BibleNLPBitextMining,train,crn_Latn-eng_Latn,,,,,,,0.3,,0.4,0.0,0.4,1.1
BibleNLPBitextMining,train,crx_Latn-eng_Latn,,,,,,,2.8,,2.9,3.2,2.1,2.6
BibleNLPBitextMining,train,cso_Latn-eng_Latn,,,,,,,1.2,,0.1,0.1,0.5,1.5
BibleNLPBitextMining,train,csy_Latn-eng_Latn,,,,,,,4.9,,3.1,3.4,3.0,3.8
BibleNLPBitextMining,train,cta_Latn-eng_Latn,,,,,,,0.6,,0.1,0.0,0.2,2.5
BibleNLPBitextMining,train,cth_Latn-eng_Latn,,,,,,,2.1,,2.1,0.8,0.4,0.6
BibleNLPBitextMining,train,ctp_Latn-eng_Latn,,,,,,,1.1,,0.4,0.0,0.6,1.7
BibleNLPBitextMining,train,ctu_Latn-eng_Latn,,,,,,,1.5,,0.8,1.1,0.9,1.3
BibleNLPBitextMining,train,cub_Latn-eng_Latn,,,,,,,0.8,,0.8,0.0,2.0,2.4
BibleNLPBitextMining,train,cuc_Latn-eng_Latn,,,,,,,0.6,,0.5,0.7,0.3,1.6
BibleNLPBitextMining,train,cui_Latn-eng_Latn,,,,,,,0.2,,0.4,0.0,0.7,0.4
BibleNLPBitextMining,train,cuk_Latn-eng_Latn,,,,,,,0.8,,1.0,0.1,0.0,0.7
BibleNLPBitextMining,train,cut_Latn-eng_Latn,,,,,,,0.4,,0.6,0.5,0.0,1.2
BibleNLPBitextMining,train,cux_Latn-eng_Latn,,,,,,,0.5,,0.4,0.2,0.7,1.1
BibleNLPBitextMining,train,cwe_Latn-eng_Latn,,,,,,,0.0,,0.4,0.0,0.2,0.0
BibleNLPBitextMining,train,cya_Latn-eng_Latn,,,,,,,0.7,,0.0,0.2,0.1,1.2
BibleNLPBitextMining,train,daa_Latn-eng_Latn,,,,,,,0.6,,0.5,0.4,0.3,0.5
BibleNLPBitextMining,train,dad_Latn-eng_Latn,,,,,,,1.0,,0.4,0.1,2.6,1.9
BibleNLPBitextMining,train,dah_Latn-eng_Latn,,,,,,,0.4,,0.1,0.1,0.0,0.4
BibleNLPBitextMining,train,dan_Latn-eng_Latn,,,,,,,6.3,,4.0,6.1,90.4,93.9
BibleNLPBitextMining,train,ded_Latn-eng_Latn,,,,,,,0.0,,0.4,0.4,0.7,1.3
BibleNLPBitextMining,train,deu_Latn-eng_Latn,,,,,,,7.5,,6.8,9.1,96.9,97.4
BibleNLPBitextMining,train,dgc_Latn-eng_Latn,,,,,,,0.8,,1.3,0.1,1.6,2.9
BibleNLPBitextMining,train,dgr_Latn-eng_Latn,,,,,,,0.8,,2.2,1.0,2.4,3.0
BibleNLPBitextMining,train,dgz_Latn-eng_Latn,,,,,,,0.3,,0.2,0.4,0.1,0.5
BibleNLPBitextMining,train,dhg_Latn-eng_Latn,,,,,,,0.0,,0.4,0.4,0.1,0.6
BibleNLPBitextMining,train,dif_Latn-eng_Latn,,,,,,,2.2,,2.0,0.6,2.3,1.6
BibleNLPBitextMining,train,dik_Latn-eng_Latn,,,,,,,0.1,,0.6,0.0,0.1,1.4
BibleNLPBitextMining,train,dji_Latn-eng_Latn,,,,,,,1.0,,1.7,3.5,1.4,1.4
BibleNLPBitextMining,train,djk_Latn-eng_Latn,,,,,,,1.1,,0.5,0.0,0.2,2.0
BibleNLPBitextMining,train,djr_Latn-eng_Latn,,,,,,,0.3,,0.1,0.3,0.0,0.5
BibleNLPBitextMining,train,dob_Latn-eng_Latn,,,,,,,1.0,,0.8,0.4,0.8,1.5
BibleNLPBitextMining,train,dop_Latn-eng_Latn,,,,,,,0.0,,0.0,0.0,0.0,0.6
BibleNLPBitextMining,train,dov_Latn-eng_Latn,,,,,,,0.8,,0.0,0.0,1.0,0.4
BibleNLPBitextMining,train,dwr_Latn-eng_Latn,,,,,,,0.4,,1.0,0.4,0.5,0.3
BibleNLPBitextMining,train,dww_Latn-eng_Latn,,,,,,,0.7,,0.4,0.1,1.3,1.1
BibleNLPBitextMining,train,dwy_Latn-eng_Latn,,,,,,,2.0,,2.3,3.1,0.2,4.3
BibleNLPBitextMining,train,ebk_Latn-eng_Latn,,,,,,,0.2,,1.4,1.4,1.1,2.7
BibleNLPBitextMining,train,eko_Latn-eng_Latn,,,,,,,0.4,,0.4,0.0,0.0,0.3
BibleNLPBitextMining,train,emi_Latn-eng_Latn,,,,,,,1.6,,0.5,0.4,1.7,1.1
BibleNLPBitextMining,train,emp_Latn-eng_Latn,,,,,,,0.3,,0.3,0.0,0.7,1.0
BibleNLPBitextMining,train,eng_Latn-aai_Latn,,,,,,,5.3,,4.7,4.1,2.7,2.0
BibleNLPBitextMining,train,eng_Latn-aak_Arab,,,,,,,0.4,,0.0,0.2,0.0,0.1
BibleNLPBitextMining,train,eng_Latn-aau_Latn,,,,,,,0.7,,1.0,0.4,0.2,1.1
BibleNLPBitextMining,train,eng_Latn-aaz_Latn,,,,,,,0.5,,1.0,0.0,2.0,2.4
BibleNLPBitextMining,train,eng_Latn-abt_Latn,,,,,,,0.7,,0.3,0.7,1.0,1.3
BibleNLPBitextMining,train,eng_Latn-abx_Latn,,,,,,,1.5,,1.4,0.7,2.0,2.4
BibleNLPBitextMining,train,eng_Latn-aby_Latn,,,,,,,0.4,,0.5,0.1,0.0,0.0
BibleNLPBitextMining,train,eng_Latn-acf_Latn,,,,,,,0.7,,0.5,0.6,0.9,0.1
BibleNLPBitextMining,train,eng_Latn-acr_Latn,,,,,,,1.0,,0.8,1.7,3.0,1.7
